"filename", "language", "Dart", "YAML", "Markdown", "Ruby", "C++", "Swift", "XML", "Gradle", "Java Properties", "Objective-C", "CMake", "JSON", "HTML", "Java", "Kotlin", "PowerShell", "Kotlinscript", "comment", "blank", "total"
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\extensions\string_extensions.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\extensions\time_extensions.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\utils\context_menu_options.dart", "Dart", 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 358
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\utils\global_keys.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\utils\rebuild_counter.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\utils\time_format.dart", "Dart", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 81
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\utils\utils.dart", "Dart", 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34, 253
"d:\Android_Dev\Flutter\Projects\notesapp\lib\main.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 75
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\chat_list_provider\chat_list_notifier.dart", "Dart", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36, 200
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\chat_list_provider\prompt.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5308, 773, 6081
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\dummy_data\dummy_chats.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\enums\bubble_color.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\enums\bubble_style.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\data\enums\chat_media.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
